id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution,,Crime_Map,,lat&long
98,-122.3250693,47.6400398,20,1,2,283,0,,754,,"(47.6400398,-122.325069333333)"
99,-122.308241,47.6400398,9,0,0,294,1,,426,,"(47.6400398,-122.308241)"
100,-122.2914127,47.6400398,18,0,0,129,0,,309,,"(47.6400398,-122.291412666666)"
110,-122.3755543,47.6243556,12,0,0,23,3,,213,,"(47.6243556,-122.375554333333)"
111,-122.358726,47.6243556,1399,1,8,210,296,,1969,,"(47.6243556,-122.358725999999)"
112,-122.3418977,47.6243556,3369,2,0,389,293,,2827,,"(47.6243556,-122.341897666666)"
113,-122.3250693,47.6243556,1045,2,2,798,13,,2605,,"(47.6243556,-122.325069333333)"
114,-122.308241,47.6243556,176,0,3,956,25,,1146,,"(47.6243556,-122.308241)"
115,-122.2914127,47.6243556,3,0,0,198,1,,389,,"(47.6243556,-122.291412666666)"
124,-122.3923827,47.6086714,1,0,0,14,0,,38,,"(47.6086714,-122.392382666666)"
125,-122.3755543,47.6086714,0,0,0,0,0,,0,,"(47.6086714,-122.375554333333)"
126,-122.358726,47.6086714,15,0,0,1,1,,7,,"(47.6086714,-122.358725999999)"
127,-122.3418977,47.6086714,2348,2,30,217,62,,1641,,"(47.6086714,-122.341897666666)"
128,-122.3250693,47.6086714,1077,5,4,552,242,,1498,,"(47.6086714,-122.325069333333)"
129,-122.308241,47.6086714,326,2,5,920,75,,1166,,"(47.6086714,-122.308241)"
130,-122.2914127,47.6086714,13,0,0,146,1,,226,,"(47.6086714,-122.291412666666)"
137,-122.4260393,47.5929872,0,0,0,23,0,,40,,"(47.5929872,-122.426039333333)"
138,-122.409211,47.5929872,7,0,1,168,0,,147,,"(47.5929872,-122.409211)"
139,-122.3923827,47.5929872,30,0,0,254,0,,434,,"(47.5929872,-122.392382666666)"
140,-122.3755543,47.5929872,5,0,0,21,0,,26,,"(47.5929872,-122.375554333333)"
141,-122.358726,47.5929872,2,0,0,1,0,,4,,"(47.5929872,-122.358725999999)"
142,-122.3418977,47.5929872,93,0,0,53,25,,251,,"(47.5929872,-122.341897666666)"
143,-122.3250693,47.5929872,159,1,3,544,42,,657,,"(47.5929872,-122.325069333333)"
144,-122.308241,47.5929872,120,0,1,607,11,,815,,"(47.5929872,-122.308241)"
145,-122.2914127,47.5929872,14,0,0,86,0,,184,,"(47.5929872,-122.291412666666)"
152,-122.4260393,47.577303,3,0,0,93,0,,98,,"(47.577303,-122.426039333333)"
153,-122.409211,47.577303,0,0,0,189,0,,250,,"(47.577303,-122.409211)"
154,-122.3923827,47.577303,20,1,0,340,11,,643,,"(47.577303,-122.392382666666)"
155,-122.3755543,47.577303,25,0,6,400,3,,488,,"(47.577303,-122.375554333333)"
