id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution
0,-122.459696,47.734145,0.0,0.0,0.0,0.0,0.0
1,-122.45717175,47.734145,0.0,0.0,0.0,0.0,0.0
2,-122.4546475,47.734145,0.0,0.0,0.0,0.0,0.0
3,-122.45212325,47.734145,0.0,0.0,0.0,0.0,0.0
4,-122.44959899999999,47.734145,0.0,0.0,0.0,0.0,0.0
5,-122.44707475,47.734145,0.0,0.0,0.0,0.0,0.0
6,-122.44455049999999,47.734145,0.0,0.0,0.0,0.0,0.0
7,-122.44202625,47.734145,0.0,0.0,0.0,0.0,0.0
8,-122.43950199999999,47.734145,0.0,0.0,0.0,0.0,0.0
9,-122.43697775,47.734145,0.0,0.0,0.0,0.0,0.0
10,-122.43445349999999,47.734145,0.0,0.0,0.0,0.0,0.0
11,-122.43192925,47.734145,0.0,0.0,0.0,0.0,0.0
12,-122.42940499999999,47.734145,0.0,0.0,0.0,0.0,0.0
13,-122.42688075,47.734145,0.0,0.0,0.0,0.0,0.0
14,-122.42435649999999,47.734145,0.0,0.0,0.0,0.0,0.0
15,-122.42183225,47.734145,0.0,0.0,0.0,0.0,0.0
16,-122.419308,47.734145,0.0,0.0,0.0,0.0,0.0
17,-122.41678375,47.734145,0.0,0.0,0.0,0.0,0.0
18,-122.4142595,47.734145,0.0,0.0,0.0,0.0,0.0
19,-122.41173524999999,47.734145,0.0,0.0,0.0,0.0,0.0
20,-122.409211,47.734145,0.0,0.0,0.0,0.0,0.0
21,-122.40668674999999,47.734145,0.0,0.0,0.0,0.0,0.0
22,-122.4041625,47.734145,0.0,0.0,0.0,0.0,0.0
23,-122.40163824999999,47.734145,0.0,0.0,0.0,0.0,0.0
24,-122.399114,47.734145,0.0,0.0,0.0,0.0,0.0
25,-122.39658974999999,47.734145,0.0,0.0,0.0,0.0,0.0
26,-122.3940655,47.734145,0.0,0.0,0.0,0.0,0.0
27,-122.39154124999999,47.734145,0.0,0.0,0.0,0.0,0.0
28,-122.389017,47.734145,0.0,0.0,0.0,0.0,0.0
29,-122.38649275,47.734145,0.0,0.0,0.0,0.0,0.0
30,-122.3839685,47.734145,0.0,0.0,0.0,0.0,0.0
31,-122.38144425,47.734145,0.0,0.0,0.0,0.0,0.0
