id,longitude,latitude,Crime_Map
0,-122.459696,47.734145,0.0
1,-122.44286766666666,47.734145,0.0
2,-122.42603933333332,47.734145,0.0
3,-122.409211,47.734145,0.0
4,-122.39238266666666,47.734145,0.0
5,-122.37555433333333,47.734145,312.0
6,-122.35872599999999,47.734145,1181.0
7,-122.34189766666667,47.734145,489.0
8,-122.32506933333333,47.734145,412.0
9,-122.308241,47.734145,926.0
10,-122.29141266666666,47.734145,273.0
11,-122.27458433333334,47.734145,0.0
12,-122.257756,47.734145,0.0
13,-122.24092766666666,47.734145,0.0
14,-122.22409933333333,47.734145,0.0
15,-122.459696,47.718460799999995,0.0
16,-122.44286766666666,47.718460799999995,0.0
17,-122.42603933333332,47.718460799999995,0.0
18,-122.409211,47.718460799999995,0.0
19,-122.39238266666666,47.718460799999995,43.0
20,-122.37555433333333,47.718460799999995,344.0
21,-122.35872599999999,47.718460799999995,857.0
22,-122.34189766666667,47.718460799999995,587.0
23,-122.32506933333333,47.718460799999995,812.0
24,-122.308241,47.718460799999995,808.0
25,-122.29141266666666,47.718460799999995,491.0
26,-122.27458433333334,47.718460799999995,0.0
27,-122.257756,47.718460799999995,0.0
28,-122.24092766666666,47.718460799999995,0.0
29,-122.22409933333333,47.718460799999995,0.0
30,-122.459696,47.7027766,0.0
31,-122.44286766666666,47.7027766,0.0
32,-122.42603933333332,47.7027766,0.0
33,-122.409211,47.7027766,132.0
34,-122.39238266666666,47.7027766,440.0
35,-122.37555433333333,47.7027766,645.0
36,-122.35872599999999,47.7027766,1147.0
37,-122.34189766666667,47.7027766,467.0
38,-122.32506933333333,47.7027766,768.0
39,-122.308241,47.7027766,702.0
40,-122.29141266666666,47.7027766,374.0
41,-122.27458433333334,47.7027766,59.0
42,-122.257756,47.7027766,0.0
43,-122.24092766666666,47.7027766,0.0
44,-122.22409933333333,47.7027766,0.0
45,-122.459696,47.6870924,0.0
46,-122.44286766666666,47.6870924,0.0
47,-122.42603933333332,47.6870924,0.0
48,-122.409211,47.6870924,261.0
49,-122.39238266666666,47.6870924,719.0
50,-122.37555433333333,47.6870924,588.0
51,-122.35872599999999,47.6870924,590.0
52,-122.34189766666667,47.6870924,486.0
53,-122.32506933333333,47.6870924,1013.0
54,-122.308241,47.6870924,618.0
55,-122.29141266666666,47.6870924,509.0
56,-122.27458433333334,47.6870924,380.0
57,-122.257756,47.6870924,9.0
58,-122.24092766666666,47.6870924,0.0
59,-122.22409933333333,47.6870924,0.0
60,-122.459696,47.6714082,0.0
61,-122.44286766666666,47.6714082,0.0
62,-122.42603933333332,47.6714082,21.0
63,-122.409211,47.6714082,275.0
64,-122.39238266666666,47.6714082,864.0
65,-122.37555433333333,47.6714082,538.0
66,-122.35872599999999,47.6714082,964.0
67,-122.34189766666667,47.6714082,901.0
68,-122.32506933333333,47.6714082,2305.0
69,-122.308241,47.6714082,891.0
70,-122.29141266666666,47.6714082,519.0
71,-122.27458433333334,47.6714082,148.0
72,-122.257756,47.6714082,7.0
73,-122.24092766666666,47.6714082,0.0
74,-122.22409933333333,47.6714082,0.0
75,-122.459696,47.655724,0.0
76,-122.44286766666666,47.655724,0.0
77,-122.42603933333332,47.655724,97.0
78,-122.409211,47.655724,305.0
79,-122.39238266666666,47.655724,468.0
80,-122.37555433333333,47.655724,608.0
81,-122.35872599999999,47.655724,1218.0
82,-122.34189766666667,47.655724,736.0
83,-122.32506933333333,47.655724,540.0
84,-122.308241,47.655724,107.0
85,-122.29141266666666,47.655724,68.0
86,-122.27458433333334,47.655724,2.0
87,-122.257756,47.655724,0.0
88,-122.24092766666666,47.655724,0.0
89,-122.22409933333333,47.655724,0.0
90,-122.459696,47.640039800000004,0.0
91,-122.44286766666666,47.640039800000004,0.0
92,-122.42603933333332,47.640039800000004,6.0
93,-122.409211,47.640039800000004,143.0
94,-122.39238266666666,47.640039800000004,160.0
95,-122.37555433333333,47.640039800000004,698.0
96,-122.35872599999999,47.640039800000004,1712.0
97,-122.34189766666667,47.640039800000004,754.0
98,-122.32506933333333,47.640039800000004,754.0
99,-122.308241,47.640039800000004,426.0
100,-122.29141266666666,47.640039800000004,309.0
101,-122.27458433333334,47.640039800000004,0.0
102,-122.257756,47.640039800000004,0.0
103,-122.24092766666666,47.640039800000004,0.0
104,-122.22409933333333,47.640039800000004,0.0
105,-122.459696,47.6243556,0.0
106,-122.44286766666666,47.6243556,0.0
107,-122.42603933333332,47.6243556,0.0
108,-122.409211,47.6243556,0.0
109,-122.39238266666666,47.6243556,0.0
110,-122.37555433333333,47.6243556,213.0
111,-122.35872599999999,47.6243556,1969.0
112,-122.34189766666667,47.6243556,2827.0
113,-122.32506933333333,47.6243556,2605.0
114,-122.308241,47.6243556,1146.0
115,-122.29141266666666,47.6243556,389.0
116,-122.27458433333334,47.6243556,0.0
117,-122.257756,47.6243556,0.0
118,-122.24092766666666,47.6243556,0.0
119,-122.22409933333333,47.6243556,0.0
120,-122.459696,47.608671400000006,0.0
121,-122.44286766666666,47.608671400000006,0.0
122,-122.42603933333332,47.608671400000006,0.0
123,-122.409211,47.608671400000006,0.0
124,-122.39238266666666,47.608671400000006,38.0
125,-122.37555433333333,47.608671400000006,0.0
126,-122.35872599999999,47.608671400000006,7.0
127,-122.34189766666667,47.608671400000006,1641.0
128,-122.32506933333333,47.608671400000006,1498.0
129,-122.308241,47.608671400000006,1166.0
130,-122.29141266666666,47.608671400000006,226.0
131,-122.27458433333334,47.608671400000006,0.0
132,-122.257756,47.608671400000006,0.0
133,-122.24092766666666,47.608671400000006,0.0
134,-122.22409933333333,47.608671400000006,0.0
135,-122.459696,47.5929872,0.0
136,-122.44286766666666,47.5929872,0.0
137,-122.42603933333332,47.5929872,40.0
138,-122.409211,47.5929872,147.0
139,-122.39238266666666,47.5929872,434.0
140,-122.37555433333333,47.5929872,26.0
141,-122.35872599999999,47.5929872,4.0
142,-122.34189766666667,47.5929872,251.0
143,-122.32506933333333,47.5929872,657.0
144,-122.308241,47.5929872,815.0
145,-122.29141266666666,47.5929872,184.0
146,-122.27458433333334,47.5929872,0.0
147,-122.257756,47.5929872,0.0
148,-122.24092766666666,47.5929872,0.0
149,-122.22409933333333,47.5929872,0.0
150,-122.459696,47.57730300000001,0.0
151,-122.44286766666666,47.57730300000001,0.0
152,-122.42603933333332,47.57730300000001,98.0
153,-122.409211,47.57730300000001,250.0
154,-122.39238266666666,47.57730300000001,643.0
155,-122.37555433333333,47.57730300000001,488.0
156,-122.35872599999999,47.57730300000001,76.0
157,-122.34189766666667,47.57730300000001,263.0
158,-122.32506933333333,47.57730300000001,525.0
159,-122.308241,47.57730300000001,489.0
160,-122.29141266666666,47.57730300000001,868.0
161,-122.27458433333334,47.57730300000001,117.0
162,-122.257756,47.57730300000001,0.0
163,-122.24092766666666,47.57730300000001,0.0
164,-122.22409933333333,47.57730300000001,0.0
165,-122.459696,47.561618800000005,0.0
166,-122.44286766666666,47.561618800000005,0.0
167,-122.42603933333332,47.561618800000005,0.0
168,-122.409211,47.561618800000005,135.0
169,-122.39238266666666,47.561618800000005,718.0
170,-122.37555433333333,47.561618800000005,456.0
